transaction,category,confidence,explanation
UNION JACK FLAG LUGGAGE TAG,Shopping,0.8995,The model identified patterns in the keywords: 'union jack flag luggage'.
RED HEART LUGGAGE TAG,Shopping,0.9945,The model identified patterns in the keywords: 'heart luggage'.
RED GLASS TASSLE BAG CHARM,Bills & Utilities,0.8366,The model identified patterns in the keywords: 'glass tassle charm'.
CLEAR ACRYLIC FACETED BANGLE,Shopping,0.9764,The model identified patterns in the keywords: 'clear acrylic faceted bangle'.
5 STRAND GLASS NECKLACE CRYSTAL,Shopping,0.9978,The model identified patterns in the keywords: 'strand glass necklace crystal'.
DOORMAT UNION JACK GUNS AND ROSES,Shopping,0.9972,The model identified patterns in the keywords: 'doormat union jack guns roses'.
VANILLA SCENT CANDLE JEWELLED BOX,Food & Dining,0.8302,The model identified patterns in the keywords: 'vanilla scent candle jewelled'.
FULL ENGLISH BREAKFAST PLATE,Food & Dining,0.9998,The model identified patterns in the keywords: 'full english breakfast plate'.
BLACK CANDELABRA T-LIGHT HOLDER,Shopping,0.9898,The model identified patterns in the keywords: 'black candelabra t-light holder'.
MAGIC DRAWING SLATE CIRCUS PARADE  ,Shopping,0.853,The model identified patterns in the keywords: 'magic drawing slate circus parade'.
CHRISTMAS HANGING HEART WITH BELL,Food & Dining,0.9978,The model identified patterns in the keywords: 'christmas hanging heart with bell'.
CAKE STAND VICTORIAN FILIGREE MED,Food & Dining,0.9986,The model identified patterns in the keywords: 'cake stand victorian filigree'.
PAISLEY PATTERN  STICKERS,Shopping,0.9974,The model identified patterns in the keywords: 'paisley pattern stickers'.
FLOWERS  STICKERS,Shopping,0.9163,The model identified patterns in the keywords: 'flowers stickers'.
PINK NEW BAROQUECANDLESTICK CANDLE,Shopping,0.9971,The model identified patterns in the keywords: 'pink baroquecandlestick candle'.
BLUE NEW BAROQUE CANDLESTICK CANDLE,Shopping,0.9661,The model identified patterns in the keywords: 'blue baroque candlestick candle'.
JUMBO STORAGE BAG SUKI,Food & Dining,0.9688,The model identified patterns in the keywords: 'jumbo storage suki'.
BLACK LOVE BIRD CANDLE,Food & Dining,0.8975,The model identified patterns in the keywords: 'black love bird candle'.
PARTY TIME PENCIL ERASERS,Entertainment,0.8242,The model identified patterns in the keywords: 'party time pencil erasers'.
DISCO BALL CHRISTMAS DECORATION,Food & Dining,0.7998,The model identified patterns in the keywords: 'disco ball christmas decoration'.
PINK B'FLY C/COVER W BOBBLES,Shopping,0.9947,The model identified patterns in the keywords: 'pink b'fly c/cover bobbles'.
PINK UNION JACK  LUGGAGE TAG,Shopping,0.9952,The model identified patterns in the keywords: 'pink union jack luggage'.
6 RIBBONS ELEGANT CHRISTMAS ,Shopping,0.9912,The model identified patterns in the keywords: 'ribbons elegant christmas'.
UNION JACK FLAG LUGGAGE TAG,Shopping,0.8995,The model identified patterns in the keywords: 'union jack flag luggage'.
AGED GLASS SILVER T-LIGHT HOLDER,Bills & Utilities,0.6981,The model identified patterns in the keywords: 'aged glass silver t-light holder'.
BOOM BOX SPEAKER GIRLS,Bills & Utilities,0.7881,The model identified patterns in the keywords: 'boom speaker girls'.
6 RIBBONS SHIMMERING PINKS ,Shopping,0.9938,The model identified patterns in the keywords: 'ribbons shimmering pinks'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
JUMBO BAG OWLS,Food & Dining,0.9991,The model identified patterns in the keywords: 'jumbo owls'.
SANDWICH BATH SPONGE,Food & Dining,0.9994,The model identified patterns in the keywords: 'sandwich bath sponge'.
OWL DOORSTOP,Other,0.3796,Model confidence was low; classified as Other.
5 STRAND GLASS NECKLACE CRYSTAL,Shopping,0.9978,The model identified patterns in the keywords: 'strand glass necklace crystal'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
LARGE POPCORN HOLDER ,Food & Dining,0.9985,The model identified patterns in the keywords: 'large popcorn holder'.
PAINTED METAL STAR WITH HOLLY BELLS,Shopping,0.9929,The model identified patterns in the keywords: 'painted metal star with holly bells'.
PAINTED METAL HEART WITH HOLLY BELL,Shopping,0.9873,The model identified patterns in the keywords: 'painted metal heart with holly bell'.
ANGEL DECORATION STARS ON DRESS,Shopping,0.9877,The model identified patterns in the keywords: 'angel decoration stars dress'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
JUMBO BAG RED RETROSPOT,Food & Dining,0.7956,The model identified patterns in the keywords: 'jumbo retrospot'.
JUMBO BAG STRAWBERRY,Food & Dining,0.9973,The model identified patterns in the keywords: 'jumbo strawberry'.
STRAWBERRY SHOPPER BAG,Shopping,0.9963,The model identified patterns in the keywords: 'strawberry shopper'.
STRAWBERRY CHARLOTTE BAG,Food & Dining,0.9577,The model identified patterns in the keywords: 'strawberry charlotte'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
PACK OF 12 RED RETROSPOT TISSUES ,Bills & Utilities,0.945,The model identified patterns in the keywords: 'pack retrospot tissues'.
SCOTTIE DOG HOT WATER BOTTLE,Food & Dining,0.9996,The model identified patterns in the keywords: 'scottie water bottle'.
CHOCOLATE HOT WATER BOTTLE,Transport,0.99,Matched known merchant 'ola'.
LUNCH BAG CARS BLUE,Food & Dining,0.9859,The model identified patterns in the keywords: 'lunch cars blue'.
LUNCH BAG SPACEBOY DESIGN ,Food & Dining,0.9864,The model identified patterns in the keywords: 'lunch spaceboy design'.
ROUND SNACK BOXES SET OF4 WOODLAND ,Food & Dining,0.9902,The model identified patterns in the keywords: 'round snack boxes woodland'.
LUNCH BAG DOLLY GIRL DESIGN,Other,0.5499,Model confidence was low; classified as Other.
LUNCH BAG SUKI  DESIGN ,Food & Dining,0.9996,The model identified patterns in the keywords: 'lunch suki design'.
LUNCH BAG  BLACK SKULL.,Food & Dining,0.9984,The model identified patterns in the keywords: 'lunch black skull.'.
ROUND SNACK BOXES SET OF 4 FRUITS ,Food & Dining,0.9964,The model identified patterns in the keywords: 'round snack boxes fruits'.
ROUND SNACK BOXES SET OF 4 SKULLS,Food & Dining,0.9973,The model identified patterns in the keywords: 'round snack boxes skulls'.
DOLLY GIRL LUNCH BOX,Shopping,0.9441,The model identified patterns in the keywords: 'dolly girl lunch'.
SPACEBOY LUNCH BOX ,Food & Dining,0.9969,The model identified patterns in the keywords: 'spaceboy lunch'.
GREEN POLKADOT PLATE ,Shopping,0.765,The model identified patterns in the keywords: 'green polkadot plate'.
BLUE POLKADOT PLATE ,Shopping,0.765,The model identified patterns in the keywords: 'blue polkadot plate'.
RED RETROSPOT PLATE ,Other,0.5452,Model confidence was low; classified as Other.
PINK  POLKADOT PLATE ,Shopping,0.9057,The model identified patterns in the keywords: 'pink polkadot plate'.
ROUND SNACK BOXES SET OF 4 SKULLS,Food & Dining,0.9973,The model identified patterns in the keywords: 'round snack boxes skulls'.
FELTCRAFT DOLL MOLLY,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft doll molly'.
FELTCRAFT CHRISTMAS FAIRY,Shopping,0.9995,The model identified patterns in the keywords: 'feltcraft christmas fairy'.
TRAVEL SEWING KIT,Shopping,0.9985,The model identified patterns in the keywords: 'travel sewing'.
SET OF 3 NOTEBOOKS IN PARCEL,Shopping,0.9968,The model identified patterns in the keywords: 'notebooks parcel'.
RED RETROSPOT TAPE,Other,0.5243,Model confidence was low; classified as Other.
COSY SLIPPER SHOES SMALL  RED ,Shopping,0.9993,The model identified patterns in the keywords: 'cosy slipper shoes small'.
6 RIBBONS RUSTIC CHARM,Food & Dining,0.8009,The model identified patterns in the keywords: 'ribbons rustic charm'.
SCANDINAVIAN REDS RIBBONS,Shopping,0.6878,The model identified patterns in the keywords: 'scandinavian reds ribbons'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
12 DAISY PEGS IN WOOD BOX,Shopping,0.9965,The model identified patterns in the keywords: 'daisy pegs wood'.
HOT WATER BOTTLE BABUSHKA ,Other,0.5049,Model confidence was low; classified as Other.
FELTCRAFT PRINCESS CHARLOTTE DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess charlotte doll'.
FELTCRAFT CHRISTMAS FAIRY,Shopping,0.9995,The model identified patterns in the keywords: 'feltcraft christmas fairy'.
FELTCRAFT PRINCESS CHARLOTTE DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess charlotte doll'.
6 RIBBONS RUSTIC CHARM,Food & Dining,0.8009,The model identified patterns in the keywords: 'ribbons rustic charm'.
COSY SLIPPER SHOES SMALL  RED ,Shopping,0.9993,The model identified patterns in the keywords: 'cosy slipper shoes small'.
SCANDINAVIAN REDS RIBBONS,Shopping,0.6878,The model identified patterns in the keywords: 'scandinavian reds ribbons'.
5 HOOK HANGER RED MAGIC TOADSTOOL,Bills & Utilities,0.9958,The model identified patterns in the keywords: 'hook hanger magic toadstool'.
CHRISTMAS CRAFT TREE TOP ANGEL,Food & Dining,0.9534,The model identified patterns in the keywords: 'christmas craft tree angel'.
CHRISTMAS CRAFT LITTLE FRIENDS,Food & Dining,0.9577,The model identified patterns in the keywords: 'christmas craft little friends'.
5 HOOK HANGER RED MAGIC TOADSTOOL,Bills & Utilities,0.9958,The model identified patterns in the keywords: 'hook hanger magic toadstool'.
6 RIBBONS RUSTIC CHARM,Food & Dining,0.8009,The model identified patterns in the keywords: 'ribbons rustic charm'.
12 DAISY PEGS IN WOOD BOX,Shopping,0.9965,The model identified patterns in the keywords: 'daisy pegs wood'.
SET OF 3 NOTEBOOKS IN PARCEL,Shopping,0.9968,The model identified patterns in the keywords: 'notebooks parcel'.
5 HOOK HANGER MAGIC TOADSTOOL,Bills & Utilities,0.9927,The model identified patterns in the keywords: 'hook hanger magic toadstool'.
SCANDINAVIAN REDS RIBBONS,Shopping,0.6878,The model identified patterns in the keywords: 'scandinavian reds ribbons'.
RED TOADSTOOL LED NIGHT LIGHT,Bills & Utilities,0.7305,The model identified patterns in the keywords: 'toadstool night light'.
5 HOOK HANGER RED MAGIC TOADSTOOL,Bills & Utilities,0.9958,The model identified patterns in the keywords: 'hook hanger magic toadstool'.
COSY SLIPPER SHOES SMALL GREEN,Shopping,0.9993,The model identified patterns in the keywords: 'cosy slipper shoes small green'.
COSY SLIPPER SHOES SMALL  RED ,Shopping,0.9993,The model identified patterns in the keywords: 'cosy slipper shoes small'.
FELTCRAFT DOLL ROSIE,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft doll rosie'.
FELTCRAFT DOLL MOLLY,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft doll molly'.
FELTCRAFT DOLL EMILY,Shopping,0.9998,The model identified patterns in the keywords: 'feltcraft doll emily'.
FELTCRAFT PRINCESS CHARLOTTE DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess charlotte doll'.
FELTCRAFT PRINCESS OLIVIA DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess olivia doll'.
REX CASH+CARRY JUMBO SHOPPER,Shopping,0.9985,The model identified patterns in the keywords: 'cash+carry jumbo shopper'.
FELTCRAFT DOLL MOLLY,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft doll molly'.
FELTCRAFT CUSHION OWL,Shopping,0.9989,The model identified patterns in the keywords: 'feltcraft cushion'.
CHRISTMAS CRAFT TREE TOP ANGEL,Food & Dining,0.9534,The model identified patterns in the keywords: 'christmas craft tree angel'.
CHRISTMAS CRAFT LITTLE FRIENDS,Food & Dining,0.9577,The model identified patterns in the keywords: 'christmas craft little friends'.
FELTCRAFT CUSHION RABBIT,Shopping,0.999,The model identified patterns in the keywords: 'feltcraft cushion rabbit'.
FELTCRAFT CUSHION BUTTERFLY,Shopping,0.9983,The model identified patterns in the keywords: 'feltcraft cushion butterfly'.
12 DAISY PEGS IN WOOD BOX,Shopping,0.9965,The model identified patterns in the keywords: 'daisy pegs wood'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
FELTCRAFT CUSHION BUTTERFLY,Shopping,0.9983,The model identified patterns in the keywords: 'feltcraft cushion butterfly'.
12 DAISY PEGS IN WOOD BOX,Shopping,0.9965,The model identified patterns in the keywords: 'daisy pegs wood'.
ROSE COTTAGE KEEPSAKE BOX ,Shopping,0.9857,The model identified patterns in the keywords: 'rose cottage keepsake'.
TOTE BAG I LOVE LONDON,Shopping,0.9979,The model identified patterns in the keywords: 'tote love london'.
12 DAISY PEGS IN WOOD BOX,Shopping,0.9965,The model identified patterns in the keywords: 'daisy pegs wood'.
TOTE BAG I LOVE LONDON,Shopping,0.9979,The model identified patterns in the keywords: 'tote love london'.
FOLDING UMBRELLA PINKWHITE POLKADOT,Shopping,0.9991,The model identified patterns in the keywords: 'folding umbrella pinkwhite polkadot'.
FOLDING UMBRELLA CREAM POLKADOT,Shopping,0.9795,The model identified patterns in the keywords: 'folding umbrella cream polkadot'.
FOLDING UMBRELLA WHITE/RED POLKADOT,Shopping,0.9975,The model identified patterns in the keywords: 'folding umbrella white/red polkadot'.
SET 10 LIGHTS NIGHT OWL,Other,0.4259,Model confidence was low; classified as Other.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
FOLDING UMBRELLA RED/WHITE POLKADOT,Shopping,0.9975,The model identified patterns in the keywords: 'folding umbrella red/white polkadot'.
BABUSHKA LIGHTS STRING OF 10,Food & Dining,0.9987,The model identified patterns in the keywords: 'babushka lights string'.
LUNCH BAG RED RETROSPOT,Food & Dining,0.9936,The model identified patterns in the keywords: 'lunch retrospot'.
S/4 VALENTINE DECOUPAGE HEART BOX,Shopping,0.8073,The model identified patterns in the keywords: 'valentine decoupage heart'.
FOLDING UMBRELLA CREAM POLKADOT,Shopping,0.9795,The model identified patterns in the keywords: 'folding umbrella cream polkadot'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
FOLDING UMBRELLA RED/WHITE POLKADOT,Shopping,0.9975,The model identified patterns in the keywords: 'folding umbrella red/white polkadot'.
SOLDIERS EGG CUP ,Food & Dining,0.9992,The model identified patterns in the keywords: 'soldiers'.
S/4 VALENTINE DECOUPAGE HEART BOX,Shopping,0.8073,The model identified patterns in the keywords: 'valentine decoupage heart'.
RED RETROSPOT MINI CASES,Bills & Utilities,0.8154,The model identified patterns in the keywords: 'retrospot mini cases'.
nan,Food & Dining,0.9824,The model identified patterns in the keywords: ''.
60 CAKE CASES VINTAGE CHRISTMAS,Food & Dining,0.7319,The model identified patterns in the keywords: 'cake cases vintage christmas'.
PAPER CHAIN KIT VINTAGE CHRISTMAS,Shopping,0.9993,The model identified patterns in the keywords: 'paper chain vintage christmas'.
RIBBON REEL CHRISTMAS SOCK BAUBLE,Shopping,0.9705,The model identified patterns in the keywords: 'ribbon reel christmas sock bauble'.
RIBBON REEL SNOWY VILLAGE,Other,0.4911,Model confidence was low; classified as Other.
RIBBON REEL MAKING SNOWMEN ,Shopping,0.7499,The model identified patterns in the keywords: 'ribbon reel making snowmen'.
SET OF 20 VINTAGE CHRISTMAS NAPKINS,Shopping,0.9968,The model identified patterns in the keywords: 'vintage christmas napkins'.
TURQUOISE CHRISTMAS TREE ,Shopping,0.9991,The model identified patterns in the keywords: 'turquoise christmas tree'.
RED STAR CARD HOLDER,Bills & Utilities,0.8207,The model identified patterns in the keywords: 'star card holder'.
WICKER WREATH SMALL,Food & Dining,0.9899,The model identified patterns in the keywords: 'wicker wreath small'.
HEART OF WICKER LARGE,Food & Dining,0.6838,The model identified patterns in the keywords: 'heart wicker large'.
ADVENT CALENDAR GINGHAM SACK,Food & Dining,0.9948,The model identified patterns in the keywords: 'advent calendar gingham sack'.
HEART OF WICKER SMALL,Food & Dining,0.7754,The model identified patterns in the keywords: 'heart wicker small'.
FELTCRAFT BUTTERFLY HEARTS,Shopping,0.9994,The model identified patterns in the keywords: 'feltcraft butterfly hearts'.
PARTY CONE CHRISTMAS DECORATION ,Food & Dining,0.9991,The model identified patterns in the keywords: 'party cone christmas decoration'.
VINTAGE HEADS AND TAILS CARD GAME ,Shopping,0.7644,The model identified patterns in the keywords: 'vintage heads tails card game'.
WICKER STAR ,Food & Dining,0.9453,The model identified patterns in the keywords: 'wicker star'.
VINTAGE SNAP CARDS,Shopping,0.9995,The model identified patterns in the keywords: 'vintage snap cards'.
FELTCRAFT 6 FLOWER FRIENDS,Shopping,0.9994,The model identified patterns in the keywords: 'feltcraft flower friends'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
BIRD DECORATION RED RETROSPOT,Shopping,0.9738,The model identified patterns in the keywords: 'bird decoration retrospot'.
CHRISTMAS GINGHAM TREE,Food & Dining,0.9976,The model identified patterns in the keywords: 'christmas gingham tree'.
CHRISTMAS GINGHAM STAR,Food & Dining,0.9995,The model identified patterns in the keywords: 'christmas gingham star'.
CHRISTMAS GINGHAM HEART,Food & Dining,0.9994,The model identified patterns in the keywords: 'christmas gingham heart'.
PACK OF 12 PINK POLKADOT TISSUES,Shopping,0.8789,The model identified patterns in the keywords: 'pack pink polkadot tissues'.
FELTCRAFT PRINCESS LOLA DOLL,Transport,0.99,Matched known merchant 'ola'.
PACK OF 12 LONDON TISSUES ,Shopping,0.8302,The model identified patterns in the keywords: 'pack london tissues'.
PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,Shopping,0.9994,The model identified patterns in the keywords: 'purple drawerknob acrylic edwardian'.
CHILDREN'S APRON DOLLY GIRL ,Shopping,0.9799,The model identified patterns in the keywords: 'children's apron dolly girl'.
CHILDRENS APRON SPACEBOY DESIGN,Shopping,0.996,The model identified patterns in the keywords: 'childrens apron spaceboy design'.
CHRISTMAS LIGHTS 10 SANTAS ,Food & Dining,0.9913,The model identified patterns in the keywords: 'christmas lights santas'.
CHRISTMAS LIGHTS 10 REINDEER,Food & Dining,0.996,The model identified patterns in the keywords: 'christmas lights reindeer'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
FELTCRAFT CHRISTMAS FAIRY,Shopping,0.9995,The model identified patterns in the keywords: 'feltcraft christmas fairy'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
PACK OF 60 MUSHROOM CAKE CASES,Food & Dining,0.9992,The model identified patterns in the keywords: 'pack mushroom cake cases'.
60 CAKE CASES DOLLY GIRL DESIGN,Shopping,0.6872,The model identified patterns in the keywords: 'cake cases dolly girl design'.
PACK OF 60 PINK PAISLEY CAKE CASES,Food & Dining,0.9122,The model identified patterns in the keywords: 'pack pink paisley cake cases'.
HAND WARMER BABUSHKA DESIGN,Food & Dining,0.866,The model identified patterns in the keywords: 'hand warmer babushka design'.
HAND WARMER BIRD DESIGN,Food & Dining,0.9656,The model identified patterns in the keywords: 'hand warmer bird design'.
HAND WARMER OWL DESIGN,Food & Dining,0.8408,The model identified patterns in the keywords: 'hand warmer design'.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
SET 12 RETRO WHITE CHALK STICKS,Food & Dining,0.9042,The model identified patterns in the keywords: 'retro white chalk sticks'.
FELTCRAFT HAIRBAND RED AND BLUE,Shopping,0.9994,The model identified patterns in the keywords: 'feltcraft hairband blue'.
FELTCRAFT HAIRBAND PINK AND PURPLE,Shopping,0.9996,The model identified patterns in the keywords: 'feltcraft hairband pink purple'.
FELTCRAFT HAIRBANDS PINK AND WHITE ,Shopping,0.9996,The model identified patterns in the keywords: 'feltcraft hairbands pink white'.
TV DINNER TRAY DOLLY GIRL,Food & Dining,0.8765,The model identified patterns in the keywords: 'dinner tray dolly girl'.
PLASTERS IN TIN VINTAGE PAISLEY ,Shopping,0.9979,The model identified patterns in the keywords: 'plasters vintage paisley'.
PLASTERS IN TIN SPACEBOY,Shopping,0.9928,The model identified patterns in the keywords: 'plasters spaceboy'.
PLASTERS IN TIN WOODLAND ANIMALS,Shopping,0.9941,The model identified patterns in the keywords: 'plasters woodland animals'.
MAGIC DRAWING SLATE SPACEBOY ,Other,0.5884,Model confidence was low; classified as Other.
MAGIC DRAWING SLATE CIRCUS PARADE  ,Shopping,0.853,The model identified patterns in the keywords: 'magic drawing slate circus parade'.
MAGIC DRAWING SLATE GO TO THE FAIR ,Other,0.3266,Model confidence was low; classified as Other.
MAGIC DRAWING SLATE DOLLY GIRL ,Shopping,0.9438,The model identified patterns in the keywords: 'magic drawing slate dolly girl'.
CHARLIE + LOLA RED HOT WATER BOTTLE,Transport,0.99,Matched known merchant 'ola'.
HOT WATER BOTTLE BABUSHKA ,Other,0.5049,Model confidence was low; classified as Other.
URBAN BLACK RIBBONS ,Shopping,0.9987,The model identified patterns in the keywords: 'urban black ribbons'.
FELTCRAFT PRINCESS CHARLOTTE DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess charlotte doll'.
SET OF 6 T-LIGHTS TOADSTOOLS,Other,0.393,Model confidence was low; classified as Other.
ROTATING LEAVES T-LIGHT HOLDER,Food & Dining,0.6883,The model identified patterns in the keywords: 'rotating leaves t-light holder'.
RED  HARMONICA IN BOX ,Other,0.541,Model confidence was low; classified as Other.
CUPCAKE LACE PAPER SET 6,Food & Dining,0.9558,The model identified patterns in the keywords: 'cupcake lace paper'.
FAMILY PHOTO FRAME CORNICE,Shopping,0.9988,The model identified patterns in the keywords: 'family photo frame cornice'.
TRIPLE PHOTO FRAME CORNICE ,Shopping,0.9942,The model identified patterns in the keywords: 'triple photo frame cornice'.
WOODEN FRAME ANTIQUE WHITE ,Shopping,0.9755,The model identified patterns in the keywords: 'wooden frame antique white'.
WOODEN BOX OF DOMINOES,Shopping,0.9372,The model identified patterns in the keywords: 'wooden dominoes'.
TRADITIONAL WOODEN CATCH CUP GAME ,Food & Dining,0.9994,The model identified patterns in the keywords: 'traditional wooden catch game'.
TRADITIONAL WOODEN SKIPPING ROPE,Food & Dining,0.997,The model identified patterns in the keywords: 'traditional wooden skipping rope'.
S/6 WOODEN SKITTLES IN COTTON BAG,Food & Dining,0.8331,The model identified patterns in the keywords: 'wooden skittles cotton'.
RED METAL BEACH SPADE ,Shopping,0.9527,The model identified patterns in the keywords: 'metal beach spade'.
BOYS VINTAGE TIN SEASIDE BUCKET,Shopping,0.9992,The model identified patterns in the keywords: 'boys vintage seaside bucket'.
GIRLS VINTAGE TIN SEASIDE BUCKET,Shopping,0.9996,The model identified patterns in the keywords: 'girls vintage seaside bucket'.
GREY HEART HOT WATER BOTTLE,Food & Dining,0.9906,The model identified patterns in the keywords: 'grey heart water bottle'.
SCOTTIE DOG HOT WATER BOTTLE,Food & Dining,0.9996,The model identified patterns in the keywords: 'scottie water bottle'.
BIRD HOUSE HOT WATER BOTTLE,Food & Dining,0.9976,The model identified patterns in the keywords: 'bird house water bottle'.
KINGS CHOICE TEA CADDY ,Food & Dining,0.9998,The model identified patterns in the keywords: 'kings choice caddy'.
KINGS CHOICE BISCUIT TIN,Food & Dining,0.9961,The model identified patterns in the keywords: 'kings choice biscuit'.
METAL SIGN EMPIRE TEA,Shopping,0.9901,The model identified patterns in the keywords: 'metal sign empire'.
HOMEMADE JAM SCENTED CANDLES,Food & Dining,0.9923,The model identified patterns in the keywords: 'homemade scented candles'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
FAWN BLUE HOT WATER BOTTLE,Food & Dining,0.9972,The model identified patterns in the keywords: 'fawn blue water bottle'.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
HOT WATER BOTTLE BABUSHKA ,Other,0.5049,Model confidence was low; classified as Other.
WHITE SKULL HOT WATER BOTTLE ,Food & Dining,0.9908,The model identified patterns in the keywords: 'white skull water bottle'.
RETROSPOT HEART HOT WATER BOTTLE,Bills & Utilities,0.9602,The model identified patterns in the keywords: 'retrospot heart water bottle'.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SCOTTIE DOG HOT WATER BOTTLE,Food & Dining,0.9996,The model identified patterns in the keywords: 'scottie water bottle'.
GREY HEART HOT WATER BOTTLE,Food & Dining,0.9906,The model identified patterns in the keywords: 'grey heart water bottle'.
HOT WATER BOTTLE BABUSHKA ,Other,0.5049,Model confidence was low; classified as Other.
PACK OF 6 BIRDY GIFT TAGS,Shopping,0.9972,The model identified patterns in the keywords: 'pack birdy gift tags'.
CHILLI LIGHTS,Food & Dining,0.9997,The model identified patterns in the keywords: 'chilli lights'.
PIGGY BANK RETROSPOT ,Shopping,0.8347,The model identified patterns in the keywords: 'piggy bank retrospot'.
CERAMIC STRAWBERRY MONEY BOX,Shopping,0.999,The model identified patterns in the keywords: 'ceramic strawberry money'.
CERAMIC STRAWBERRY CAKE MONEY BANK,Shopping,0.9607,The model identified patterns in the keywords: 'ceramic strawberry cake money bank'.
CERAMIC CHERRY CAKE MONEY BANK,Other,0.5716,Model confidence was low; classified as Other.
CERAMIC HEART FAIRY CAKE MONEY BANK,Shopping,0.9922,The model identified patterns in the keywords: 'ceramic heart fairy cake money bank'.
CERAMIC PIRATE CHEST MONEY BANK,Shopping,0.9993,The model identified patterns in the keywords: 'ceramic pirate chest money bank'.
DOORSTOP RETROSPOT HEART,Shopping,0.9989,The model identified patterns in the keywords: 'doorstop retrospot heart'.
GINGHAM HEART  DOORSTOP RED,Food & Dining,0.9992,The model identified patterns in the keywords: 'gingham heart doorstop'.
RETROSPOT BABUSHKA DOORSTOP,Shopping,0.9993,The model identified patterns in the keywords: 'retrospot babushka doorstop'.
SILK PURSE BABUSHKA RED,Shopping,0.9995,The model identified patterns in the keywords: 'silk purse babushka'.
SILK PURSE BABUSHKA PINK,Shopping,0.9996,The model identified patterns in the keywords: 'silk purse babushka pink'.
FAMILY PHOTO FRAME CORNICE,Shopping,0.9988,The model identified patterns in the keywords: 'family photo frame cornice'.
SWEETHEART WIRE WALL TIDY,Shopping,0.9947,The model identified patterns in the keywords: 'sweetheart wire wall tidy'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
RED RETROSPOT OVEN GLOVE ,Shopping,0.8692,The model identified patterns in the keywords: 'retrospot oven glove'.
CREAM HEART CARD HOLDER,Food & Dining,0.9991,The model identified patterns in the keywords: 'cream heart card holder'.
NAMASTE SWAGAT INCENSE,Food & Dining,0.9971,The model identified patterns in the keywords: 'namaste swagat incense'.
CERAMIC STRAWBERRY DESIGN MUG,Shopping,0.8559,The model identified patterns in the keywords: 'ceramic strawberry design'.
BLACK HEART CARD HOLDER,Bills & Utilities,0.8697,The model identified patterns in the keywords: 'black heart card holder'.
CLASSICAL ROSE SMALL VASE,Shopping,0.6396,The model identified patterns in the keywords: 'classical rose small vase'.
HYACINTH BULB T-LIGHT CANDLES,Food & Dining,0.9436,The model identified patterns in the keywords: 'hyacinth bulb t-light candles'.
CHRISTMAS CRAFT WHITE FAIRY ,Food & Dining,0.9975,The model identified patterns in the keywords: 'christmas craft white fairy'.
